"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","fecha","año","mes","est"
19,7.6,6.77,543,7.3,215.99,23.95,106.49,0.91,0.28,0.138,13.98,14.97,29.4,1.35,6.57,35.92,5.52,2.48,13,300,0.1,0.78,0.655,0.0025,0.105,5e-04,0.05,0.05,0.957,0.189,78000,0.1,0.0025,36.6,0.02,1100000,460000,26,14.72,65.99,313,15.39,2020-03-25,"2020","3","RZ-05"
19,7.9,7.3,424,14,140.27,17.44,125.58,0.27,13.71,0.395,0.5,1.05,15.16,0.26,3.42,18,6.7,0.85,15,293,0.1,0.1,1,0.0025,670,78000,0.05,0.05,1.03,0.125,76000,0.1,0.0025,24,0.02,46000,46000,30,5.7,140.27,308,15.16,2020-03-25,"2020","3","RZ-04"
21,7.8,7.05,575,11,220.76,37.76,142.9,0.28,0.3,560,6,7.4,10.57,0.39,5.39,29.03,5.14,1.29,17,333,0.1,0.1,0.538,0.0025,0.101,50000,0.05,0.05,0.909,0.371,67000,0.1,2500,40.3,210,15000,9300,31,8.56,86.68,350,7.76,2020-03-25,"2020","3","RZ-03"
27,6.7,0.39,1067,150,406.41,68.55,685,1.37,0.19,0.01,6.17,9.43,92.26,2.57,36.84,80.2,8.36,2.32,305,680,3,2.92,13.85,0.0025,0.197,57000,0.05,0.05,8.121,0.253,5e-04,0.1,7300,116,560,1.1e+07,4600000,30,22.08,184.79,985,9.62,2020-03-25,"2020","3","RL-02"
25,8,5.17,927,40,346.93,57.14,275.77,1,0.22,0.01,0.5,1.46,100.24,0.1,1.83,31,5.14,0.63,41,622,0.1,0.45,3.61,0.0025,0.203,5e-04,0.05,0.05,2.158,0.05,5e-04,0.1,0.0025,92.9,260,110000,46000,26,2,135.14,663,1.68,2020-03-25,"2020","3","CS-01"
16,7.8,5.49,630,5.2,257,27.96,113.23,0.35,0.29,0.102,19.04,20.5,37.5,1.22,9.99,43.79,9.9,3.74,9,337,0.1,0.37,1.425,3800,0.223,5e-04,0.05,0.05,1.131,0.431,5e-04,0.1,5100,47.9,250,1200000,1200000,23,12.6,72.1,346,20.89,2020-04-07,"2020","4","RZ-05"
17,8,7.01,456,7.8,150.83,20.41,132.53,0.35,8.55,860,0.5,1.05,24.52,0.18,2.82,22.63,7.22,1.59,11,321,0.1,0.53,1.165,3800,0.128,5e-04,0.05,0.05,0.72,510,5e-04,0.1,3000,32.4,0.02,46000,46000,23,12.41,83.92,332,9.69,2020-04-07,"2020","4","RZ-04"
18,7.7,7.26,581,7.5,249.49,7.53,145.33,0.36,0.19,0.103,4.08,6.17,10,0.19,3.8,28.04,9.53,1.62,7,357,0.1,0.31,1.215,0.0025,0.161,5e-04,0.05,0.05,0.744,0.696,5e-04,0.1,4100,50.4,0.02,930,930,27,12.22,96.33,357,6.46,2020-04-07,"2020","4","RZ-03"
20,7.4,5.12,989,31.5,390.17,87.98,223.5,1.61,0.27,150,0.5,8.39,56.56,0.12,17.01,103.32,18.17,1.7,124,654,6.5,0.94,4.69,3800,0.212,57000,0.05,0.05,2.435,0.172,5e-04,0.1,8600,115.5,250,46000,46000,33,23.31,136.13,778,8.68,2020-04-07,"2020","4","RZ-02"
25,7.4,0.81,1089,17,427.92,70.72,199.09,1,0.11,0.01,6.93,8.85,97.05,2.42,15.36,61.5,7.01,1.82,15,678,0.1,6.05,1.515,7400,0.247,53000,0.05,0.05,0.427,0.128,5e-04,0.1,8300,128.5,250,1500000,930000,31,37.04,135.54,693,8.96,2020-04-07,"2020","4","RL-02"
23,7.7,2.07,963,11,352.41,58.32,231.97,1.15,0.34,0.01,0.5,1.11,102.02,0.1,2.86,39.36,12.11,0.68,20,628,0.5,0.27,1.61,0.0025,0.316,5e-04,0.05,0.05,0.512,0.115,57000,0.1,5700,99.3,0.02,430,230,33,10.34,132.78,648,1.45,2020-04-07,"2020","4","RL-01"
