"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","Materia flotante","fecha","año","mes","est"
20,7.94,4.85,,,,,,,0.43,220,,0.56,,,6.5,52.1,12.78,0.48,32,517,0.1,,2.249,134,0.005,5e-04,0.05,0.05,2.142,690,5e-04,0.1,0.0025,60.7,720,2800,2000,,,,549,1.012,,2009-02-10,"2009","2","RS-01"
16,7.09,2.53,,,,,,,0.1,110,,1.12,,,2.7,29.4,42.21,0.37,4,533,0.1,,0.01,111,0.005,5e-04,0.05,0.05,0.21,570,5e-04,0.1,0.0025,68.2,0.114,12000,4300,,,,537,1.131,,2009-02-10,"2009","2","RS-02"
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2009-02-10,"2009","2","RS-03"
19,7.35,0,,,,,,,0.1,240,,6.72,,,16.2,147,8.8,0.62,18,728,0.3,,0.363,108,0.005,5e-04,0.05,0.05,0.317,0.19,5e-04,0.1,0.0025,102.5,670,120000,75000,,,,746,6.744,,2009-02-10,"2009","2","RS-04"
16,7.46,0,,,,,,,0.1,250,,12.32,,,16.6,118,26.82,1.3,16,793,0.2,,0.237,107,0.005,5e-04,0.05,560,0.275,0.264,5e-04,0.1,0.0025,95.8,760,43000,39000,,,,809,12.345,,2009-02-10,"2009","2","RS-05"
20,7.95,5.9,,,,,,,0.27,0.64,,9.52,,,22.14,90.23,6.95,1.22,8,719,0.2,,0.222,108,0.005,5e-04,0.05,0.05,0.271,0.173,5e-04,0.1,0.0025,101.3,950,150000,93000,,,,727,10.43,,2009-02-10,"2009","2","RS-06"
26,7.36,0,,,,,,,0.619,0.022,,24.08,,,167,365,54.86,1.9,220,716,8,,0.488,109,0.005,0.104,0.05,0.05,0.39,0.132,5e-04,0.1,0.0025,92.4,2.77,930000,430000,,,,936,24.699,,2009-02-10,"2009","2","RS-07"
26,7.64,4.43,,,,,,,0.255,0.04,,17.92,,,31.6,117,14.79,1.1,30,673,1,,3.831,165,0.005,1.095,0.104,0.141,5.66,0.166,5e-04,0.1,115,89.2,0.907,240000,150000,,,,703,18.215,,2009-02-10,"2009","2","RS-08"
27,7.43,0,,,,,,,0.1,0.022,,11.2,,,16.4,61.6,,0.77,20,487,0.1,,0.204,8900,0.005,8500,0.05,0.05,0.194,0.171,5e-04,0.1,0.0025,66,2.305,24000,9300,,,,507,11.2,,2009-02-10,"2009","2","RS-09"
25,7.71,,,,,,,,0.1,0.71,,3.92,,,18.3,51.9,19.89,0.64,30,447,0.1,,0.01,115,0.005,5e-04,0.05,0.05,0.192,910,5e-04,0.1,0.0025,58.8,940,460000,93000,,,,477,4.63,,2009-02-10,"2009","2","RS-RS-010"
